label,excerpt
-2.008490859,"Put yourself on the same level as the person to whom you speak, and under penalty of being considered a pedantic idiot, refraining from explaining any expression or word that you may use.
Never, unless you are requested to do so, speak of your own business or profession in society; to confine your conversation entirely to the subject or pursuit which is your own speciality is low-bred and vulgar.
Make the subject for conversation suit the company in which you are placed. Joyous, light conversation will be at times as much out of place, as a sermon would be at a dancing party. Let your conversation be grave or gay as suits the time or place.
In a dispute, if you cannot reconcile the parties, withdraw from them. You will surely make one enemy, perhaps two, by taking either side, in an argument when the speakers have lost their temper."
0.4694777,"Other people arrived at the bus stop. They complained because the bus was late. ""Where is the bus?"" they asked. Ebei was worried. ""We will not be able to go to town,"" he thought. ""I will not be able to get my uniform."" Some people gave up and went home. Ebei cried. He did not want to go. ""We will wait a bit longer,"" said his mother. Suddenly, they heard a noise. They saw dust in the air. The bus was coming! But this bus was not blue. It was not big. It was red and small. The people did not want to get in this bus. ""Get in! Get in!"" shouted the driver. ""We are very late today,"" he called. Ebei and his mother got in first. Soon everyone else got in the small red bus. Ebei looked out the window. He saw more people at the bus stop. Even more people were running to catch the bus."
-1.55135919,"As soon as he got home, Utterson sat down and wrote to Jekyll, complaining of his exclusion from the house, and asking the cause of this unhappy break with Lanyon; and the next day brought him a long answer, often very pathetically worded, and sometimes darkly mysterious in drift. The quarrel with Lanyon was incurable. ""I do not blame our old friend,"" Jekyll wrote, ""but I share his view that we must never meet. I mean from henceforth to lead a life of extreme seclusion; you must not be surprised, nor must you doubt my friendship, if my door is often shut even to you. You must suffer me to go my own dark way. I have brought on myself a punishment and a danger that I cannot name. If I am the chief of sinners, I am the chief of sufferers also. I could not think that this earth contained a place for sufferings and terrors so unmanning; and you can do but one thing, Utterson, to lighten this destiny, and that is to respect my silence."""
-1.901160593,"Wild Robin knew that the country people would say the fays had pressed that green circle with their light feet. He had heard all the Scottish lore of brownies, elves, will-o'-the-wisps, and the strange water-kelpies, who shriek with eldritch laughter. He had been told that the queen of the fairies had coveted him from his birth, and would have stolen him away, only that, just as she was about to seize him from the cradle, he had sneezed; and from that instant the fairy-spell was over, and she had no more control of him.
Yet, in spite of all these stories, the boy was not afraid; and if he had been informed that any of the uncanny people were, even now, haunting his footsteps, he would not have believed it.
""I see,"" said Wild Robin, ""the sun is drawing his night-cap over his eyes, and dropping asleep. I believe I'll e'en take a nap mysel', and see what comes o' it.""
In two minutes he had forgotten St. Mary's Loch, the hills, the moors, the yellow flowers. He heard, or fancied he heard, his sister Janet calling him home."
0.267636798,"Chicken and Millipede were friends. But they were always competing with each other. One day they decided to play football to see who was the best player. They went to the football field and started their game. Chicken was fast, but Millipede was faster. Chicken kicked far, but Millipede kicked further. Chicken started to feel angry. They decided to play a penalty shoot-out. First Millipede was goal keeper. Chicken scored only one goal. Then it was Chicken's turn to defend the goal. Millipede kicked the ball and scored. Millipede dribbled the ball and scored. Millipede headed the ball and scored. Millipede scored five goals! Chicken was furious that she lost. She was a very bad loser. Millipede started laughing because his friend was making such a fuss. Chicken was so angry that she opened her beak wide and swallowed Millipede. As Chicken was walking home, she met Mother Millipede. Mother Millipede asked, ""Have you seen my child?"" Chicken didn't say anything."
0.711158299,"Once, when Felix had grown to be six years old, his mother took him with her on a journey in the railroad-cars to New York. It was a fine day in June: the windows of the cars were open.
""Felix,"" said his mother, as they took their seats, ""you may sit by the window; but you must not put your head or your arms out of it.""
Before she could explain to him her reasons for saying this, a friend who had come in drew off her attention, by talking to her; so that she forgot to explain to Felix why she did not wish to have him put his head or arms out of the window.
In the seat just before him, Felix saw a large boy, who kept putting his head out, although the boy's mother kept telling him not to do it. By and by the cars rushed by a post, which stood so near the track that it almost grazed the boy's head. He started back in a great fright, losing his hat as he did so. He had a very narrow escape."
-1.249531499,"Through the tropic nights their sonorous, bell-like booming can be heard coming up from the marshes, and when they are unseen, the song of the bull-frogs would suggest creatures full of solemn dignity. The croak of their lesser brethren is less impressive, yet there is no escape from it on those evenings when the dragon-flies' iridescent wings are folded in sleep, and the birds in the branches are still, when the lilies on the pond have closed their golden hearts, and even the late-feeding trout have ceased to plop and to make eddies in the quiet water. ""Krroak! krroak! krroak!"" they go—""krroak! krroak! krroak!""
It is unceasing, unending. It goes on like the whirr of the wheels of a great clock that can never run down—a melancholy complaint against the hardships of destiny—a raucous protest against things as they are."
-0.839384401,"In a village dwelt a poor old woman, who had gathered together a dish of beans and wanted to cook them. So she made a fire on her hearth, and that it might burn the quicker, she lighted it with a handful of straw. When she was emptying the beans into the pan, one dropped without her observing it, and lay on the ground beside a straw, and soon afterwards a burning coal from the fire leapt down to the two. Then the straw began and said: ‘Dear friends, from whence do you come here?' The coal replied: ‘I fortunately sprang out of the fire, and if I had not escaped by sheer force, my death would have been certain, I should have been burnt to ashes.' The bean said: ‘I too have escaped with a whole skin, but if the old woman had got me into the pan, I should have been made into broth without any mercy, like my comrades.' ‘And would a better fate have fallen to my lot?' said the straw."
-1.029448678,"The sugar-cane vendor eyed the other shrewdly. What was the gossip he had heard concerning Fa'ng, the famous old hatchetman? Was it not that the old man was always hungry? Yes, that was it! Fa'ng, whose long knife and swift arm had been the most feared thing in all Chinatown, was starving—too proud to beg, too honest to steal.
""You have eaten well, venerable Fa'ng?"" The inquiry was in a casual tone, respectful.
""Aih, I have eaten well,"" replied the old hatchetman, averting his face.
""How unfortunate for me! I have not yet eaten my rice; for when one must dine alone, one goes slowly to table. Is it not written that a bowl of rice shared is doubly enjoyed? Would you not at least have a cup of tea while I eat my mean fare?"" 
""I shall be honoured to sip tea with you, estimable Bow Sam,"" replied the hatchetman with poorly disguised eagerness."
-2.155723039,"Miss Churchill, however, being of age, and with the full command of her fortune—though her fortune bore no proportion to the family-estate—was not to be dissuaded from the marriage, and it took place, to the infinite mortification of Mr. and Mrs. Churchill, who threw her off with due decorum. It was an unsuitable connection, and did not produce much happiness. Mrs. Weston ought to have found more in it, for she had a husband whose warm heart and sweet temper made him think every thing due to her in return for the great goodness of being in love with him; but though she had one sort of spirit, she had not the best. She had resolution enough to pursue her own will in spite of her brother, but not enough to refrain from unreasonable regrets at that brother's unreasonable anger, nor from missing the luxuries of her former home. They lived beyond their income, but still it was nothing in comparison of Enscombe: she did not cease to love her husband, but she wanted at once to be the wife of Captain Weston, and Miss Churchill of Enscombe."
-1.284712849,"As an animal grows, maintaining the interactions between epidermal cells and touch-sensing neurons is critical to the animal's ability to sense touch.
Animals can sense touch as soon as they are born, even though the skin of a newborn is very simple. The epidermis of a newborn consists of only one or two sheets of epidermal cells, and a small number of touch-sensing neurons send axons to the epidermis. As newborn animals mature into adults, the skin grows to cover the much larger animal, the epidermis thickens by adding more layers of cells, and new touch-sensing neurons are born. In addition to growth and thickening, during this time special structures—like hair in mammals, feathers in birds, or scales in fish—form within the skin. We refer to this maturation as a ""metamorphosis,"" a process between birth and adulthood when multiple tissues change at once. For example, the transformation of tadpoles into frogs is a metamorphosis. People undergo a similar metamorphosis as teenagers: as we develop from children into adults, many of our tissues grow and change. Our study aimed to understand how epidermal cells and touch-sensing neurons change as the skin undergoes metamorphosis."
-0.769008705,"What do corn roots have in common with your Facebook profile?
No, that was not the beginning of a joke. The two have more in common than you might think. We often think of a corn plant as a single organism. But plants are part of a network of relationships, sort of such as Facebook. These plant relationships are easy to overlook because they are hard to study. Still, they are very important because they affect how healthy plants are.
Soil is full of millions of microscopic bacteria and fungi. These microscopic organisms are collectively called microbes. Some of these microbes form close partnerships with plants. Plants can rely on microbes to help them get nutrients that are scarce in soil. Microbes break down dead plants and animals, and this process slowly releases nitrogen, phosphorus, and other elements that plants need to grow. When plants cannot get enough of these nutrients on their own, they can send out sugars from their roots. The energy microbes get from these sugars helps them break down even more dead plants and animals. If enough nutrients are available in the soil, though, plants would rather keep their sugars for themselves."
-0.518584635,"The Moon is Earth's only permanent natural satellite. It is one of the largest natural satellites in the Solar System, and the largest among planetary satellites relative to the size of the planet that it orbits (its primary). It is the second-densest satellite among those whose densities are known (after Jupiter's satellite Io).
The average distance of the Moon from the Earth is 384,400 km (238,900 mi), or 1.28 light-seconds.
The Moon is thought to have formed approximately 4.5 billion years ago, not long after Earth. There are several hypotheses for its origin; the most widely accepted explanation is that the Moon formed from the debris left over after a giant impact between Earth and a Mars-sized body called Theia.
The Moon is in synchronous rotation with Earth, always showing the same face, with its near side marked by dark volcanic maria that fill the spaces between the bright ancient crustal highlands and the prominent impact craters. It is the second-brightest regularly visible celestial object in Earth's sky after the Sun, as measured by illuminance on Earth's surface."
-1.243383855,"""Here, sir! Please take this bird around to Albro's, and see how much it weighs.""
The idea! What would the folks over the way say, to see the ""professor"" walking out with a big turkey under his arm? That was the way the thing presented itself to the good-natured college-student acting as private tutor in the family. But Mrs. Simpson, the portly and practical housewife, had no such idea of the fitness of things.
It was the day before Thanksgiving, and the farmer who had agreed to supply her with a turkey had brought it, but had not weighed it, and, of course, they could not agree on its weight, all of which ended in the startling proposition with which we began.
""Well, if you aint the laziest man——! Just as though it was going to hurt you any to take this bird to the corner and back!"" she went on, as she saw me looking, apparently, for a hole to crawl into, but, in reality, for the broom, which, when I found, I made use of in putting into execution a plan I had formed for weighing the turkey at home."
1.436503439,"The stockings hung by the chimney, and the tall tree was standing in the parlor. The children were asleep, and the father and mother had gone upstairs to bed.
In the pantry wall, the little mice were all wide-awake.
""Ee-ee-ee!"" squeaked Squeaky; ""why can't we creep into the big room and see the tall Christmas tree? The children have talked about it for days, and we have never seen one. Mother, please let us go and see it.""
""Yes,"" said Sniffy, ""do let us go. Everything smells so good. The children and the cook made long strings of popcorn today. I found a little on the pantry floor, and I want some more.""
""I peeped out of our hole,"" said Sharpeyes, ""and I saw cake and candy all ready for the children. Oh, I do want a bite of those good things! Please let us have a Christmas party.""
""Well,"" said mother mouse, ""I will ask your father. If he says it is safe, we will go.""
When mother mouse asked father mouse, he said, ""I will go out first and look all about. If it is safe, I will come back for you."""
-1.763012421,"When I first met Dumps he was scurrying towards me along a sequestered country lane. It was in the Dog Days. Dust lay thick on the road; the creature's legs were remarkably short though active, and his hair being long he swept up the dust in clouds as he ran. He was yelping, and I observed that one or two stones appeared to be racing with, or after, him. The voice of an angry man also seemed to chase him, but the owner of the voice was at the moment concealed by a turn in the lane, which was bordered by high stone-walls.
Hydrophobia, of course, flashed into my mind. I grasped my stick and drew close to the wall. The hairy whirlwind, if I may so call it, came wildly on, but instead of passing me, or snapping at my legs as I had expected, it stopped and crawled towards me in a piteous; supplicating manner that at once disarmed me. If the creature had lain still, I should have been unable to distinguish its head from its tail; but as one end of him whined, and the other wagged, I had no difficulty."
-0.432472085,"We are constantly sweating, even though we may not notice it. Sweating is your body's major way of getting rid of excess body heat, which is produced by metabolism or working muscles. The amount of sweat produced depends upon our states of emotion and physical activity. Sweat can be made in response to nerve stimulation, hot air temperature, and/or exercise. First, let's concentrate on how sweat is made in an eccrine sweat gland.
When the sweat gland is stimulated, the cells secrete a fluid (primary secretion) that is similar to plasma -- that is, it is mostly water and it has high concentrations of sodium and chloride and a low concentration of potassium -- but without the proteins and fatty acids that are normally found in plasma. The source of this fluid is the spaces between the cells (interstitial spaces), which get the fluid from the blood vessels (capillaries) in the dermis. This fluid travels from the coiled portion up through the straight duct."
0.810874254,"Goat, Dog and Cow were great friends. One day they went on a journey in a taxi. They reached the end of their journey. The driver asked them to pay their fares. Cow paid her fare. Dog paid extra, because he did not have the correct money. The driver was about to give Dog his change. Suddenly Goat ran away without paying. The driver was very annoyed. He drove away without giving Dog his change. That is why, even today, Dog runs towards a car to peep inside. He is looking for the driver who owes him change. Goat runs away from the sound of a car. She is afraid she will be arrested for not paying her fare. Cow is not bothered by cars. Cow takes her time crossing the road. She knows she paid her fare in full."
